Proteome ID	Organism	Organism ID	Last modified
UP000008319	Proteus mirabilis (strain HI4320)	529507	2015-09-18
UP000009338	Providencia rettgeri Dmel1	1141663	2015-09-18
UP000010290	Providencia sneebia DSM 19967	1141660	2015-09-18
UP000005012	Providencia stuartii (strain MRSN 2154)	1157951	2015-07-30
UP000001981	Pseudoalteromonas atlantica (strain T6c / ATCC BAA-1087)	342610	2015-10-13
UP000006843	Pseudoalteromonas haloplanktis (strain TAC 125)	326442	2015-07-30
UP000033434	Pseudoalteromonas luteoviolacea S4054	1129367	2015-07-30
UP000033511	Pseudoalteromonas piscicida	43662	2015-08-04
UP000033452	Pseudoalteromonas rubra	43658	2015-08-04
UP000033664	Pseudoalteromonas ruthenica	151081	2015-10-06
UP000030341	Pseudoalteromonas sp. OCN003	1348114	2015-09-21
UP000028931	Pseudomonas alkylphenolia	237609	2015-07-27
UP000012082	Pseudomonas denitrificans ATCC 13867	1294143	2015-10-27
UP000005437	Pseudomonas fluorescens F113	1114970	2015-07-27
UP000017175	Pseudomonas fluorescens NCIMB 11764	1221522	2015-10-19
UP000008540	Pseudomonas fluorescens (strain Pf-5 / ATCC BAA-477)	220664	2015-10-27
UP000002332	Pseudomonas fluorescens (strain SBW25)	216595	2015-07-30
UP000000686	Pseudomonas fulva (strain 12-X)	743720	2015-09-28
UP000025241	Pseudomonas knackmussii (strain DSM 6978 / LMG 23759 / B13)	1301098	2015-10-27
UP000000229	Pseudomonas mendocina (strain ymp)	399739	2015-09-28
UP000000556	Pseudomonas putida (strain KT2440)	160488	2015-07-30
UP000015503	Pseudomonas resinovorans NBRC 106553	1245471	2015-10-27
UP000029499	Pseudomonas rhizosphaerae	216142	2015-07-27
UP000033602	Pseudomonas sp. BRH_c35	1629711	2015-07-30
UP000029493	Pseudomonas cremoricolorata	157783	2015-09-21
UP000031652	Pseudomonas sp. StFLB209	1028989	2015-07-27
UP000000233	Pseudomonas stutzeri (strain A1501)	379731	2015-07-30
UP000019522	Pseudomonas stutzeri (Pseudomonas perfectomarina)	316	2015-07-27
UP000002515	Pseudomonas syringae pv. tomato (strain DC3000)	223283	2015-07-30
UP000005870	Pseudoxanthomonas spadix (strain BD-a59)	1045855	2015-09-18
UP000008632	Pseudoxanthomonas suwonensis (strain 11-1)	743721	2015-09-18
UP000033067	Pseudoxanthomonas suwonensis	314722	2015-07-27
UP000000546	Psychrobacter arcticus (strain DSM 17307 / 273-4)	259536	2015-09-18
UP000001993	Psychrobacter sp. (strain PRwf-1)	349106	2015-09-18
UP000000639	Psychromonas ingrahamii (strain 37)	357804	2015-09-18
UP000010320	Psychromonas sp. CNPT3	314282	2015-09-18
UP000009010	Rahnella aquatilis (strain ATCC 33071 / DSM 4594 / JCM 1683 / NBRC 105701 / NCIMB 13365 / CIP 78.65)	745277	2015-07-30
UP000011859	Rhodanobacter denitrificans	666685	2015-09-19
UP000001700	Riesia pediculicola (strain USDA)	515618	2015-09-18
UP000001947	Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024)	203122	2015-09-22
UP000033449	Salinivibrio sp. KP-1	1406902	2015-07-30
UP000003936	secondary endosymbiont of Ctenarytaina eucalypti	1199245	2015-09-18
UP000003937	secondary endosymbiont of Heteropsylla cubana	134287	2015-09-18
UP000019030	Chania multitudinisentens RB-25	1441930	2015-07-27
UP000011001	Serratia marcescens FGI94	1249634	2015-09-21
UP000007074	Serratia proteamaculans (strain 568)	399741	2015-09-18
UP000013561	Serratia symbiotica str. 'Cinara cedri'	568817	2015-09-19
UP000009175	Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)	326297	2015-09-18
UP000001982	Shewanella denitrificans (strain OS217 / ATCC BAA-1090 / DSM 15013)	318161	2015-09-18
UP000000684	Shewanella frigidimarina (strain NCIMB 400)	318167	2015-09-18
UP000001558	Shewanella loihica (strain ATCC BAA-1088 / PV-4)	323850	2015-09-18
UP000002608	Shewanella pealeana (strain ATCC 700345 / ANG-SQ1)	398579	2015-09-18
UP000002350	Shewanella violacea (strain JCM 10179 / CIP 106290 / LMG 19151 / DSS12)	637905	2015-09-18
UP000002168	Shewanella woodyi (strain ATCC 51908 / MS32)	392500	2015-09-18
UP000000466	Simiduia agarivorans (strain DSM 21679 / JCM 13881 / BCRC 17597 / SA1)	1117647	2015-09-22
UP000001932	Sodalis glossinidius (strain morsitans)	343509	2015-09-18
UP000019028	Sodalis praecaptivus	1239307	2015-09-20
UP000017881	Spiribacter salinus M19-40	1260251	2015-09-20
UP000017640	Spiribacter sp. UAH-SP71	1335757	2015-09-20
UP000035013	Spongiibacter sp. IMCC21906	1620392	2015-09-22
UP000008840	Stenotrophomonas maltophilia (strain K279a)	522373	2015-07-30
UP000018241	Succinatimonas sp. CAG:777	1262974	2015-09-20
UP000031627	Candidatus Tachikawaea gelatinosa	1410383	2015-08-04
UP000032414	Tatlockia micdadei (Legionella micdadei)	451	2015-09-21
UP000009080	Teredinibacter turnerae (strain ATCC 39867 / T7901)	377629	2015-09-22
UP000011866	Thalassolituus oleivorans MIL-1	1298593	2015-09-19
UP000005380	Thioalkalimicrobium aerophilum AL3	717772	2015-09-18
UP000010809	Thioalkalivibrio nitratireducens (strain DSM 14787 / UNIQEM 213 / ALEN2)	1255043	2015-09-19
UP000002383	Thioalkalivibrio sulfidiphilus (strain HL-EbGR7)	396588	2015-09-18
UP000009099	Thioalkalivibrio sp. (strain K90mix)	396595	2015-07-30
UP000006062	Thiocystis violascens (strain ATCC 17096 / DSM 198 / 6111) (Chromatium violascens)	765911	2015-09-18
UP000010816	Thioflavicoccus mobilis 8321	765912	2015-09-19
UP000002713	Thiomicrospira crunogena (strain XCL-2)	317025	2015-09-18
UP000031623	Thioploca ingrica	40754	2015-09-21
UP000009073	Tolumonas auensis (strain DSM 9187 / TA4)	595494	2015-09-18
UP000017935	uncultured Thiohalocapsa sp. PB-PSB1	1385625	2015-09-20
UP000006800	Vibrio anguillarum (strain ATCC 68554 / 775) (Listonella anguillarum)	882102	2015-07-30
UP000029660	Vibrio coralliilyticus	190893	2015-07-27
UP000007456	Vibrio furnissii (strain DSM 14383 / NCTC 11218)	903510	2015-07-30
UP000016895	Vibrio nigripulchritudo	28173	2015-07-27
UP000002493	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	223926	2015-07-30
UP000009100	Vibrio tasmaniensis (strain LGP32) (Vibrio splendidus (strain Mel32))	575788	2015-07-30
UP000030071	Vibrio tubiashii ATCC 19109	1051646	2015-10-27
UP000002675	Vibrio vulnificus (strain YJ016)	196600	2015-07-30
UP000000562	Wigglesworthia glossinidia brevipalpis	36870	2015-09-18
UP000001890	Xanthomonas albilineans (strain GPE PC73 / CFBP 7063)	380358	2015-07-30
UP000032245	Xanthomonas oryzae pv. oryzicola	129394	2015-10-19
UP000031138	Xanthomonas sacchari	56458	2015-09-21
UP000002045	Xenorhabdus bovienii (strain SS-2004)	406818	2015-07-30
UP000032721	Xenorhabdus doucetiae	351671	2015-10-15
UP000008075	Xenorhabdus nematophila (strain ATCC 19061 / DSM 3370 / LMG 1036 / NCIB 9965 / AN6)	406817	2015-07-30
UP000032735	Xenorhabdus poinarii	40577	2015-09-21
UP000019587	Yersinia enterocolitica LC20	1443113	2015-07-27
