accB	accC
fnr	hemA,prfA,prmC
fnr	hmp
fnr	hyfB,hyfC,hyfE,hyfH,hyfI,hyfJ
fnr	hypB,hypC,hypD,hypE
fnr	iraD
fnr	iraM
fnr	katG
fnr	malP,malQ
fnr	moaA,moaB,moaC,moaD,moaE
fnr	moeA,moeB
fnr	napF,napD,napA,napG,napB,napC,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmH
fnr	narG,narH,narJ,narI
fnr	narK
fnr	ndh
fnr	nikA,nikB,nikC,nikD,nikE
fnr	nirB,nirD,nirC,cysG
fnr	norV,norW
fnr	nrdD,nrdG
fnr	nrfA,nrfB,nrfC,nrfD,nrfF
fnr	nuoA,nuoB,nuoE,nuoF,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN
fnr	ompX
fnr	aceE,lpd
fnr	pitA
fnr	pstS,pstC,pstA,pstB,phoU
fnr	purM,purN
fnr	puuA,puuP
fnr	rplM,rpsI
fnr	rplT
fnr	rpsJ,rplC,rplD,rplW,rplB,rpsS,rplV,rpsC,rplP,rpmC,rpsQ
fnr	rpsP,rimM,trmD,rplS
fnr	sdhC,sdhD,sdhA,sdhB,sucA,sucD
fnr	sodA
fnr	ssuE,ssuA,ssuD,ssuB
fnr	tar,cheR,cheB,cheY,cheZ
fnr	tdcB,tdcC,tdcD,tdcE,tdcF
fnr	tpx
fnr	ubiC,ubiA
fnr	upp,uraA
fnr	uxaC,uxaA
fnr	xdhB,xdhC
fnr	ybdN
fnr	ychO
fnr	ydeJ
fnr	ydhY,ydhX,ydhU
fnr	yecR
fnr	ygbA
fnr	yhjA
fnr	ynfE,ynfF,ynfG,ynfH,dmsD
fnr	ysgA
fnr	ytfE
fnr	zwf
fucR	fucA,fucO
fucR	fucP,fucI,fucK,fucU
fur	aspC
fur	cirA
fur	cyoB,cyoC,cyoD,cyoE
fur	entC,entE,entB,entA,entH
fur	exbB,exbD
fur	feoA,feoB,feoC
fur	fepD,fepG,fepC
fur	ybdZ,entF
fur	fhuC,fhuD,fhuB
fur	fhuE
fur	fhuF
fur	fiu
fur	flhD,flhC
fur	ftnA
fur	fumB
fur	fumC
fur	garP,garL,garK
fur	gdhA
fur	glnD
fur	glnK,amtB
fur	gltB,gltD
fur	gnd
fur	gpmA
fur	grcA
fur	hmp
fur	katE
fur	katG
fur	lpd
fur	metH
fur	mntH
fur	ndh
fur	nrdH,nrdI,nrdE,nrdF
fur	ompF
fur	oppB,oppC,oppD,oppF
fur	pyrC
fur	rcnB
fur	sdhC,sdhD,sdhA,sdhB,sucA,sucD
fur	sodA
fur	sufB,sufC,sufD,sufS,sufE
fur	yhhY
fur	yqjH
fur	zinT
fur	zwf
gadW	gadA
gadW	gadB,gadC
gadW	gadE,mdtE,mdtF
gadW	hdeA,hdeB,yhiD
gadW	slp,dctR
gadX	asnB
gadX	cadB,cadA
gadX	gadA
gadX	gadB,gadC
gadX	gadE,mdtE,mdtF
gadX	glnK,amtB
gadX	hdeA,hdeB,yhiD
gadX	hdeD
gadX	lon
gadX	slp,dctR
gadX	uspE
gadX	ybaT
galR	galE,galT,galK,galM
galR	galP
galR	mglB,mglA,mglC
galS	galE,galT,galK,galM
galS	galP
galS	mglB,mglA,mglC
gcvA	gcvT,gcvH,gcvP
glnG	argT,hisJ,hisQ,hisM,hisP
glnG	astC,astA,astD,astB,astE
glnG	ddpX,ddpA,ddpB,ddpC,ddpD
